pers,saddleIdx,merged,parent
3.73795000e-01,1.00000000e+00,1.23900000e+03,8.97200000e+03
3.98844000e-01,1.00000000e+00,1.25600000e+03,8.92700000e+03
4.43239000e-01,1.00000000e+00,9.95300000e+03,1.27800000e+03
4.69135000e-01,1.00000000e+00,8.97300000e+03,8.97200000e+03
5.14990000e-01,1.00000000e+00,8.97200000e+03,1.27800000e+03
5.46286000e-01,1.00000000e+00,8.91500000e+03,8.92700000e+03
7.78017000e-01,1.00000000e+00,1.27800000e+03,8.92700000e+03
2.89873000e+00,0.00000000e+00,9.17800000e+03,9.15200000e+03
2.93796000e+00,0.00000000e+00,9.51800000e+03,9.15200000e+03
3.56578000e+00,0.00000000e+00,1.89200000e+03,9.15200000e+03
3.77252000e+00,0.00000000e+00,8.77500000e+03,9.15200000e+03
4.09985000e+00,0.00000000e+00,9.64600000e+03,9.15200000e+03

